Name,Page Link,Auther Name,Rating,Price
Untamed,/Untamed-Glennon-Doyle-Melton/dp/1984801252?_encoding=UTF8&psc=1,Glennon Doyle,"30,464",$15.93
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",/Splendid-Vile-Churchill-Family-Defiance/dp/0385348711?_encoding=UTF8&psc=1,Erik Larson,"10,953",$21.19
Corduroy,/Corduroy-Don-Freeman/dp/0451470796?_encoding=UTF8&psc=1,Don Freeman,"6,957",$4.25
Chicka Chicka Boom Boom (Board Book),/Chicka-Boom-Board-Book/dp/1442450703?_encoding=UTF8&psc=1,,"16,491",$4.59
History of the World Map by Map,/History-World-Map-DK/dp/1465475850?_encoding=UTF8&psc=1,DK,"1,352",$30.00
Art of Star Wars: The Mandalorian (Season One),/Art-Star-Wars-Mandalorian-Season/dp/141974870X?_encoding=UTF8&psc=1,,186,$31.99
Baby Touch and Feel: Animals,/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1,DK,"7,093",$5.00
Magnolia Table,/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1,Joanna Gaines,"13,731",$16.59
Where the Wild Things Are,/Where-Wild-Things-Maurice-Sendak/dp/0064431789?_encoding=UTF8&psc=1,Maurice Sendak,"15,478",$5.00
"100 Parks, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",/100-Parks-000-Ideas-Where/dp/1426220103?_encoding=UTF8&psc=1,Joe Yogerst,"1,635",$19.95
My Own Words,/Own-Words-Ruth-Bader-Ginsburg/dp/1501145258?_encoding=UTF8&psc=1,Ruth Bader Ginsburg,"4,140",$10.97
"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",/Prayer-Journal-Women-Scripture-Devotional/dp/1941325823?_encoding=UTF8&psc=1,Shannon Roberts,"17,639",$9.95
Cat Kid Comic Club: From the Creator of Dog Man,/Cat-Kid-Comic-Club-Creator/dp/1338712764?_encoding=UTF8&psc=1,Dav Pilkey,"1,250",$7.20
How the Grinch Stole Christmas! (Classic Seuss),/Grinch-Stole-Christmas-Classic-Seuss/dp/0394800796?_encoding=UTF8&psc=1,Dr. Seuss,"6,854",$8.49
